key,label,family,group,nc_ungamed,nc_post,nc_ungamed_fold_min,nc_ungamed_fold_max,nc_post_fold_min,nc_post_fold_max,enrollment_share_post
cms_dro_5,"CMS form, DRO (lambda=5)",dro,Age 65 and over,-407.40367901195094,1527.8996618207605,-2981.438965858347,1498.073729644211,-458.7404072047238,3320.5283005503893,1.0551999713063862
cms_dro_5,"CMS form, DRO (lambda=5)",dro,Uninsured all year,1199.5414415861296,1590.5845814925422,17.990431020340207,1922.8010497805365,563.3278454096262,2342.827815109344,1.0369216579425522
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Income below 200% FPL,158.41578373478114,1239.4829996412484,-1509.7603510678716,963.53155492629,-255.06586488488122,2016.9017720694083,1.008902506856016
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Hispanic,225.31996237883126,1063.5263691773246,-1611.6909058286344,1383.8175539365552,-327.0151216647478,2232.1889508980153,0.988226453195691
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Non-Hispanic Black,3.6995194125108224,970.6174100402276,-1311.5618059949163,1055.981541999268,-279.7218388648504,1913.0601088049673,0.9902135080345872
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Non-Hispanic Asian,631.9389769480796,1317.8484536067324,-636.9866134559718,1599.1317942126427,-88.57757892049179,2395.5281189794587,0.9797865592204978
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Needs ADL or IADL help,-11112.473301691878,-8124.984667335373,-22492.98746284593,-4886.453069935344,-17640.120417273214,-2008.0751444380908,0.9432102899890704
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Mental health condition,695.6588940376952,2428.4627130486215,-1230.5755233800244,2525.871279556899,808.6010498263247,4213.987287645734,1.0600398868222094
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Age 65 and over,-413.1820576492122,1545.2709477805802,-2985.1975815709543,1486.3785537780363,-446.4086452063264,3292.665683364749,1.0554414276029234
cms_dro_10,"CMS form, DRO (lambda=10)",dro,Uninsured all year,1199.1629518696807,1601.5765985039466,18.85556275650476,1919.2266641358376,649.4378500722964,2380.080368458459,1.0378102190193752
